,Year,COMMUNITY,count
0,2003,AUSTIN,30627
1,2004,AUSTIN,29409
2,2006,AUSTIN,28696
3,2007,AUSTIN,28449
4,2005,AUSTIN,28149
5,2008,AUSTIN,26788
6,2009,AUSTIN,25616
7,2010,AUSTIN,24277
8,2011,AUSTIN,22690
9,2012,AUSTIN,21314
10,2002,AUSTIN,20395
11,2013,AUSTIN,20194
12,2014,AUSTIN,18667
13,2015,AUSTIN,16980
14,2016,AUSTIN,16644
15,2004,NEAR NORTH SIDE,15729
16,2003,NEAR WEST SIDE,15590
17,2003,HUMBOLDT PARK,15355
18,2017,AUSTIN,15251
19,2003,WEST TOWN,15249
20,2003,NEAR NORTH SIDE,15202
21,2018,AUSTIN,14926
22,2006,SOUTH SHORE,14769
23,2005,HUMBOLDT PARK,14693
24,2019,AUSTIN,14671
25,2004,NEAR WEST SIDE,14594
26,2005,NEAR NORTH SIDE,14560
27,2003,SOUTH SHORE,14541
28,2004,HUMBOLDT PARK,14485
29,2005,SOUTH SHORE,14328
30,2004,SOUTH SHORE,14322
31,2007,SOUTH SHORE,14218
32,2006,NEAR NORTH SIDE,14157
33,2004,WEST TOWN,14086
34,2008,SOUTH SHORE,14044
35,2004,WEST ENGLEWOOD,13998
36,2007,NEAR NORTH SIDE,13848
37,2003,WEST ENGLEWOOD,13807
38,2006,WEST ENGLEWOOD,13640
39,2006,HUMBOLDT PARK,13620
40,2007,WEST ENGLEWOOD,13537
41,2005,WEST ENGLEWOOD,13504
42,2008,WEST ENGLEWOOD,13351
43,2004,NORTH LAWNDALE,13320
44,2008,NEAR NORTH SIDE,13302
45,2007,AUBURN GRESHAM,13287
46,2005,NEAR WEST SIDE,13127
47,2004,AUBURN GRESHAM,13111
48,2007,HUMBOLDT PARK,13028
49,2008,HUMBOLDT PARK,13001
50,2006,WEST TOWN,12950
51,2009,SOUTH SHORE,12863
52,2004,ENGLEWOOD,12832
53,2018,NEAR NORTH SIDE,12784
54,2005,WEST TOWN,12779
55,2005,AUBURN GRESHAM,12705
56,2008,AUBURN GRESHAM,12680
57,2005,NORTH LAWNDALE,12646
58,2020,AUSTIN,12606
59,2007,ROSELAND,12586
60,2009,HUMBOLDT PARK,12504
61,2008,WEST TOWN,12481
62,2003,ENGLEWOOD,12460
63,2019,NEAR NORTH SIDE,12399
64,2007,ENGLEWOOD,12368
65,2010,SOUTH SHORE,12317
66,2007,WEST TOWN,12298
67,2008,ENGLEWOOD,12292
68,2003,AUBURN GRESHAM,12239
69,2003,NORTH LAWNDALE,12234
70,2006,ENGLEWOOD,12234
71,2006,ROSELAND,12206
72,2009,NEAR NORTH SIDE,12106
73,2011,SOUTH SHORE,12078
74,2006,NEAR WEST SIDE,12072
75,2006,AUBURN GRESHAM,12066
76,2008,ROSELAND,12065
77,2022,AUSTIN,12048
78,2017,NEAR NORTH SIDE,12043
79,2005,ENGLEWOOD,12042
80,2002,NEAR NORTH SIDE,12036
81,2006,NORTH LAWNDALE,11991
82,2002,WEST TOWN,11906
83,2010,HUMBOLDT PARK,11820
84,2004,ROSELAND,11766
85,2006,CHICAGO LAWN,11685
86,2009,WEST TOWN,11646
87,2003,ROSELAND,11602
88,2012,SOUTH SHORE,11598
89,2010,NEAR NORTH SIDE,11584
90,2007,NEAR WEST SIDE,11579
91,2004,GREATER GRAND CROSSING,11540
92,2005,ROSELAND,11513
93,2009,AUBURN GRESHAM,11505
94,2008,NEAR WEST SIDE,11429
95,2005,CHICAGO LAWN,11429
96,2021,AUSTIN,11403
97,2009,WEST ENGLEWOOD,11370
98,2010,WEST TOWN,11354
99,2007,NORTH LAWNDALE,11316
100,2007,CHICAGO LAWN,11295
101,2003,LOGAN SQUARE,11283
102,2007,GREATER GRAND CROSSING,11258
103,2012,NEAR NORTH SIDE,11257
104,2010,WEST ENGLEWOOD,11218
105,2012,HUMBOLDT PARK,11190
106,2011,NEAR NORTH SIDE,11190
107,2011,HUMBOLDT PARK,11142
108,2003,CHICAGO LAWN,11138
109,2005,GREATER GRAND CROSSING,11127
110,2008,CHICAGO LAWN,11124
111,2008,NORTH LAWNDALE,11085
112,2009,ROSELAND,11046
113,2004,CHICAGO LAWN,10932
114,2006,GREATER GRAND CROSSING,10919
115,2002,HUMBOLDT PARK,10895
116,2010,NORTH LAWNDALE,10845
117,2003,GREATER GRAND CROSSING,10820
118,2011,WEST ENGLEWOOD,10817
119,2003,NEW CITY,10765
120,2002,SOUTH SHORE,10685
121,2010,AUBURN GRESHAM,10656
122,2018,LOOP,10639
123,2004,LOGAN SQUARE,10621
124,2013,SOUTH SHORE,10559
125,2009,ENGLEWOOD,10549
126,2010,CHICAGO LAWN,10514
127,2002,NEAR WEST SIDE,10447
128,2017,LOOP,10438
129,2019,LOOP,10401
130,2012,NORTH LAWNDALE,10377
131,2008,GREATER GRAND CROSSING,10368
132,2010,ROSELAND,10364
133,2016,NEAR NORTH SIDE,10361
134,2009,CHICAGO LAWN,10297
135,2011,AUBURN GRESHAM,10247
136,2013,HUMBOLDT PARK,10244
137,2022,NEAR NORTH SIDE,10239
138,2009,NEAR WEST SIDE,10198
139,2010,ENGLEWOOD,10161
140,2011,WEST TOWN,10116
141,2013,NEAR NORTH SIDE,10091
142,2004,NEW CITY,10076
143,2002,WEST ENGLEWOOD,10068
144,2009,NORTH LAWNDALE,10061
145,2006,NEW CITY,9995
146,2011,NORTH LAWNDALE,9993
147,2012,WEST ENGLEWOOD,9974
148,2011,CHICAGO LAWN,9949
149,2011,ROSELAND,9907
150,2010,NEAR WEST SIDE,9799
151,2013,NORTH LAWNDALE,9769
152,2007,NEW CITY,9694
153,2012,WEST TOWN,9653
154,2011,NEAR WEST SIDE,9653
155,2007,CHATHAM,9616
156,2005,NEW CITY,9585
157,2005,CHATHAM,9576
158,2006,LOGAN SQUARE,9539
159,2009,GREATER GRAND CROSSING,9530
160,2003,LOOP,9470
161,2004,CHATHAM,9437
162,2012,AUBURN GRESHAM,9408
163,2002,ENGLEWOOD,9396
164,2012,NEAR WEST SIDE,9378
165,2010,GREATER GRAND CROSSING,9365
166,2005,LOGAN SQUARE,9351
167,2016,NEAR WEST SIDE,9350
168,2003,CHATHAM,9313
169,2011,ENGLEWOOD,9311
170,2004,LOOP,9267
171,2019,NEAR WEST SIDE,9239
172,2014,SOUTH SHORE,9235
173,2018,NORTH LAWNDALE,9229
174,2018,NEAR WEST SIDE,9218
175,2022,NEAR WEST SIDE,9179
176,2014,HUMBOLDT PARK,9166
177,2007,LOGAN SQUARE,9164
178,2004,EAST GARFIELD PARK,9121
179,2008,CHATHAM,9108
180,2003,EAST GARFIELD PARK,9101
181,2012,ENGLEWOOD,9079
182,2006,CHATHAM,9063
183,2012,ROSELAND,9012
184,2013,WEST ENGLEWOOD,9004
185,2017,NORTH LAWNDALE,8963
186,2019,NORTH LAWNDALE,8936
187,2014,NEAR NORTH SIDE,8934
188,2006,SOUTH CHICAGO,8928
189,2011,GREATER GRAND CROSSING,8917
190,2015,SOUTH SHORE,8908
191,2017,NEAR WEST SIDE,8896
192,2005,LOOP,8883
193,2015,NEAR NORTH SIDE,8874
194,2016,LOOP,8866
195,2002,AUBURN GRESHAM,8866
196,2008,NEW CITY,8847
197,2004,SOUTH CHICAGO,8842
198,2007,SOUTH CHICAGO,8815
199,2016,NORTH LAWNDALE,8753
200,2012,GREATER GRAND CROSSING,8717
201,2007,LOOP,8702
202,2008,LOGAN SQUARE,8696
203,2006,LOOP,8680
204,2002,ROSELAND,8671
205,2002,LOGAN SQUARE,8664
206,2014,NORTH LAWNDALE,8630
207,2019,SOUTH SHORE,8617
208,2004,LAKE VIEW,8616
209,2003,LAKE VIEW,8611
210,2008,LOOP,8605
211,2009,LOGAN SQUARE,8578
212,2012,CHICAGO LAWN,8576
213,2017,SOUTH SHORE,8569
214,2006,EAST GARFIELD PARK,8565
215,2013,AUBURN GRESHAM,8560
216,2018,SOUTH SHORE,8558
217,2003,BELMONT CRAGIN,8531
218,2003,GRAND BOULEVARD,8520
219,2002,NORTH LAWNDALE,8495
220,2013,NEAR WEST SIDE,8486
221,2007,EAST GARFIELD PARK,8396
222,2005,WEST GARFIELD PARK,8378
223,2006,WEST GARFIELD PARK,8361
224,2003,SOUTH CHICAGO,8337
225,2005,BELMONT CRAGIN,8271
226,2005,EAST GARFIELD PARK,8259
227,2005,SOUTH CHICAGO,8229
228,2022,SOUTH SHORE,8205
229,2013,WEST TOWN,8195
230,2013,ENGLEWOOD,8184
231,2009,BELMONT CRAGIN,8178
232,2017,WEST TOWN,8174
233,2010,LOGAN SQUARE,8157
234,2009,CHATHAM,8151
235,2013,ROSELAND,8143
236,2016,SOUTH SHORE,8129
237,2016,WEST TOWN,8106
238,2004,BELMONT CRAGIN,8100
239,2004,WOODLAWN,8096
240,2008,LAKE VIEW,8072
241,2009,NEW CITY,8060
242,2021,NEAR NORTH SIDE,8050
243,2015,NORTH LAWNDALE,8027
244,2007,WEST PULLMAN,8026
245,2007,WOODLAWN,8004
